Study number,Study code,Study reference,Experiment number,Study short name,Retrieved from,Document Type,On money priming?,Empirical?,Random Assignment,Neutral Comparison?,Eligible?,Why not?,Able to compute effect size?,Included?,Notes,dep,prime,prime (extra notes).,year ,jrnl,published,replication,Preregistered,Prime Type (coder 1),Prime Type (coder 2),Prime Type (coder agreement),Prime Type (final code),Setting (coder 1),Setting (coder 2),Setting (code agreement),Setting (final code),Behavioral vs non-behavioral (coder 1),Behavioral vs non-behavioral (coder 2),Behavioral vs non-behavioral (code agreement),Behavioral vs. Non-behavioral,Problems?,Multiple DV?,Interaction?,Notes ,2nd factor,Simple main effect,Interaction Identification (1=Largest predicted effect),Notes,Contact Author?,Information to seek,Aggregated across DVs?,d,var of d,g,var of g,Notes.,Notes:    1st DV,Effect size (D) (Reported),significance,n1,n2,N,m1 ,m2,sd1,sd2,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,percent1,percent2,Odds ratio,A,B,C,D,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 2nd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,log odds ratio,variance of log odds ratio,Type of test statistics,Value of test statistics,converted d,variance of d,converted g,variance of g,Notes: 3rd effect size,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g,Notes,Effect size (D) (Reported) ,Significance,n1-,n2-,N-,m1-,m2-,sd1-,sd2-,Direction of Effect,"d from M,SD,n",Variance of  d,"g from M,SD,n",Variance of g
25,25,"Chakrabarti, S. (2013). Banal nationalism and soap opera. Dissertation Abstracts International Section A: Humanities and Social Sciences. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-99211-077&site=ehost-live",,,,Dissertation,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
26,26,"Chatterjee, P. (2016). Response to Pashler et al. (2016). Basic and Applied Social Psychology, 38(1), 19–29. doi:10.1080/01973533.2015.1129335",,,PsycINFO,Journal,,0,,,0,This is a commentary/response. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
27,27,"Chatterjee, P., & Rose, R. L. (2012). Do payment mechanisms change the way consumers perceive products? Journal of Consumer Research, 38(6), 1129–1139. doi:10.1086/661730",,,PsycINFO,Journal,1,1,1,1,0,Retracted. ,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
28,28,"Chatterjee, P., Rose, R. L., & Sinha, J. (2013). Why money meanings matter in decisions to donate time and money. Marketing Letters, 24(2), 109–118. doi:10.1007/s11002-012-9215-0",,,PsycINFO,Journal,1,1,1,0,0,This study compares cash vs. credit card priming. No neutral control. ,,,,,,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
29,29,"Chen, H.-X., & He, G.-B. (2011). The effect of construal level on intertemporal choice and risky choice. Acta Psychologica Sinica, 43(4), 442–452. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-11861-010&site=ehost-live",,,PsycINFO,Journal,,,,,0,Not in English (it is in Chinese),,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
30,30,"Cherrier, M. M. (1995, October). Explicit and implicit spatial memory in Alzheimer’s disease and normal aging. Dissertation Abstracts International: Section B: The Sciences and Engineering. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1995-95019-097&site=ehost-live",,,,Dissertation,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
31,31,"Chutuape, M. A. D., Mitchell, S. H., & de Wit, H. (1994). Ethanol preloads increase ethanol preference under concurrent random-ratio schedules in social drinkers. Experimental and Clinical Psychopharmacology, 2(4), 310–318. doi:10.1037/1064-1297.2.4.310",,,PsycINFO,Journal,0,,,,0,Not related to money priming,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,32,"Clarke, A. (1997, April). The paired comparison technique: A subterfuge for estimating relative non-market values for the things we love? Dissertation Abstracts International: Section B: The Sciences and Engineering. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1997-95008-418&site=ehost-live",,,,Dissertation,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
33,33,"Clarke, A., Bell, P. A., & Peterson, G. L. (1999). The influence of attitude priming and social responsibility on the valuation of environmental public goods using paired comparisons. Environment and Behavior, 31(6), 838–857. doi:10.1177/00139169921972371",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
34,34,"Cohen, M., Liebson, I. A., Faillace, L. A., & Speers, W. (1971). Alcoholism: Controlled drinking and incentives for abstinence. Psychological Reports, 28(2), 575–580. doi:10.2466/pr0.1971.28.2.575",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
35,35,"Collings, J. A. (1995). Life fulfilment in an epilepsy sample from the United States. Social Science & Medicine, 40(11), 1579–1584. doi:10.1016/0277-9536(94)00328-Q",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
36,36,"Copland, D. (2003). The basal ganglia and semantic engagement: Potential insights from semantic priming in individuals with subcortical vascular lesions, Parkinson’s disease, and cortical lesions. Journal of the International Neuropsychological Society, 9(7), 1041–1052. doi:10.1017/S1355617703970081",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
37,37,"Copland, D. A., Chenery, H. J., & Murdoch, B. E. (2000). Processing lexical ambiguities in word triplets: Evidence of lexical–semantic deficits following dominant nonthalamic subcortical lesions. Neuropsychology, 14(3), 379–390. doi:10.1037/0894-4105.14.3.379",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
38,38,"Copland, D. A., Chenery, H. J., & Murdoch, B. E. (2002). Hemispheric contributions to lexical ambiguity resolution: Evidence from individuals with complex language impairment following left-hemisphere lesions. Brain and Language, 81(1-3), 131–143. doi:10.1006/brln.2001.2512",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
39,39,"Copland, D. A., de Zubicaray, G. I., McMahon, K., & Eastburn, M. (2007). Neural correlates of semantic priming for ambiguous words: An event-related fMRI study. Brain Research, 1131, 163–172. doi:10.1016/j.brainres.2006.11.016",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
40,40,"Copland, D. A., McMahon, K. L., Silburn, P. A., & de Zubicaray, G. I. (2009). Dopaminergic neuromodulation of semantic processing: A 4-T fMRI study with levodopa. Cerebral Cortex, 19(11), 2651–2658. doi:10.1093/cercor/bhp017",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
41,41,"Copland, D. A., Sefe, G., Ashley, J., Hudson, C., & Chenery, H. J. (2009). Impaired semantic inhibition during lexical ambiguity repetition in Parkinson’s disease. Cortex: A Journal Devoted to the Study of the Nervous System and Behavior, 45(8), 943–949. doi:10.1016/j.cortex.2009.02.023",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
42,42,"Copland, D., Chenery, H., Savage, G., & McGrath, J. (2002). An on-line investigation of lexical ambiguity processing in schizophrenia. Brain and Cognition, 48(2-3), 324–327. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2002-12819-015&site=ehost-live",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
43,43,"Cotton, J. (2010). Spiritual milk for American babes, drawn out of the breasts of both testaments for their soul’s nourishment. In A. J. Milson, C. H. Bohan, P. L. Glanzer, J. W. Null, A. J. (Ed) Milson, C. H. (Ed) Bohan, … J. W. (Ed) Null (Eds.), American educational thought: Essays from 1640–1940 (2nd ed.). (pp. 1–7). Charlotte, NC, US: IAP Information Age Publishing. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-07555-001&site=ehost-live",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
44,44,"David, C. G. (1871). Conversation eighth. In A positivist primer: Being a series of familiar conversations on the religion of humanity. (pp. 56–69). New York, NY, US: David Wesley & Co. doi:10.1037/12253-008",,,,Book / Book Chapter,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
45,45,"Day, H. I. (1972). Work and leisure: Two sides of the same coin. Canadian Counsellor, 6(4), 251–259. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1974-01958-001&site=ehost-live",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
46,46,"de Wit, H., & Chutuape, M. A. (1993). Increased ethanol choice in social drinkers following ethanol preload. Behavioural Pharmacology, 4(1), 29–36. doi:10.1097/00008877-199302000-00003",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
47,47,"DeBeck, K., Wood, E., Montaner, J., & Kerr, T. (2009). Canada’s new federal “National Anti-Drug Strategy”: An informal audit of reported funding allocation. International Journal of Drug Policy, 20(2), 188–191. doi:10.1016/j.drugpo.2008.04.004",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
48,48,"DeMarree, K. G., Loersch, C., Briñol, P., Petty, R. E., Payne, B. K., & Rucker, D. D. (2012). From primed construct to motivated behavior: Validation processes in goal pursuit. Personality and Social Psychology Bulletin, 38(12), 1659–1670. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-32159-010&site=ehost-live",,,PsycINFO,Journal,0,1,1,0,0,"Not about money priming. Study 3 primes ""self-improvement goals' vs. ""money saving goals"". ",,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
49,49,"Dickert, S., Sagara, N., & Slovic, P. (2011). Affective motivations to help others: A two‐stage model of donation decisions. Journal of Behavioral Decision Making, 24(4), 361–376. doi:10.1002/bdm.697",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
50,50,"Dinello, N. P. (1998, May). Money, social, cultural and symbolic capital: The case of Russian bankers. Dissertation Abstracts International Section A: Humanities and Social Sciences. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1998-95009-173&site=ehost-live",,,,Dissertation,,,,,,,,,,,,,,,,,,,,1,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
51,51,"Dobbin, F. (2012). Review of The money laundry: Regulating criminal finance in the global economy. American Journal of Sociology, 118(3), 850–852. doi:10.1086/667602",,,PsycINFO,Journal,0,0,,,0,This is a book review. ,,,,,,,,,,,,,,1,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
52,52,"Donny, E. C., Bigelow, G. E., & Walsh, S. L. (2004). Assessing the initiation of cocaine self-administration in humans during abstinence: Effects of dose, alternative reinforcement, and priming. Psychopharmacology, 172(3), 316–323. doi:10.1007/s00213-003-1655-z",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
53,53,"Dubois, D., Rucker, D. D., & Galinsky, A. D. (2010). The accentuation bias: Money literally looms larger (and sometimes smaller) to the powerless. Social Psychological and Personality Science, 1(3), 199–205. doi:10.1177/1948550610365170",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
54,54,"Eder, A. B., & Dignath, D. (2016). Cue-elicited food seeking is eliminated with aversive outcomes following outcome devaluation. The Quarterly Journal of Experimental Psychology, 69(3), 574–588. doi:10.1080/17470218.2015.1062527",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
55,55,"El Hazzouri, M. (2014). Stereotype threat created by dissociative groups. Dissertation Abstracts International Section A: Humanities and Social Sciences. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-99230-591&site=ehost-live",,,,Dissertation,,,,,,,,,,,,,,,,,,,,1,1,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
56,56,"Festjens, A., Bruyneel, S., & Dewitte, S. (2014). What a feeling! Touching sexually laden stimuli makes women seek rewards. Journal of Consumer Psychology, 24(3), 387–393. doi:10.1016/j.jcps.2013.10.001",,,PsycINFO,Journal,0,,,,0,Not about money priming.,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
57,57,"Furman, N. N. (2011). The effects of a treatment curriculum on the learning transfer of prosocial behavior in adventure education. Dissertation Abstracts International Section A: Humanities and Social Sciences. ProQuest Information & Learning, US. Retrieved from http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-99231-114&site=ehost-live",,,,Dissertation,,,,,,,,,,,,,,,,,,,,1,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
58,58,"Gal, D. (2012). A mouth-watering prospect: Salivation to material reward. Journal of Consumer Research, 38(6), 1022–1029. doi:10.1086/661766",1,,PsycINFO,Journal,1,1,1,1,1,,0,0,Cannot compute effect size,Salivation,Images,,2012,Journal of Consumer Research,1,0,,1,1,1,1,1,1,1,1,0,,,,0,1,1,This is a 2 (Money vs. control) x 2 (low vs. high power) x 2 (pre-post). 3rd factor is repeated measure. ,Power (Low vs. High),Power = High,0,,1,SD for difference score. ,,,,,,No response,,,,,,,,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
58,58,"Gal, D. (2012). A mouth-watering prospect: Salivation to material reward. Journal of Consumer Research, 38(6), 1022–1029. doi:10.1086/661766",1,,PsycINFO,Journal,1,1,1,1,1,,0,0,Cannot compute effect size,Salivation,Images,,2012,Journal of Consumer Research,1,0,,1,1,1,1,1,1,1,1,0,,,,0,1,1,This is a 2 (Money vs. control) x 2 (low vs. high power) x 2 (pre-post). 3rd factor is repeated measure. ,Power (Low vs. High),Power = Low,1,,1,SD for difference score. ,,,,,,No response,,,,,,,,,,,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,F,13.03,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,
